Gene,Population 1,Population 2,Normalized lineage score,Significant guides,Total guides,,,,,,,,,,,,,,,,,,,,
Spi1,GMP,LSKd7,-3.909819218,11,16,,,,,,,,,,,,,,,,,,,,
Cebpa,GMP,LSKd7,-3.199220923,9,16,,,,,,,,,,,,,,,,,,,,
Gata2,GMP,LSKd7,1.022519449,5,16,,,,,,,,,,,,,,,,,,,,
Pax5,GMP,LSKd7,0.530616367,0,16,,,,,,,,,,,,,,,,,,,,
Mbd2,GMP,LSKd7,1.17682687,3,10,,,,,,,,,,,,,,,,,,,,
Zfpm1,GMP,LSKd7,1.600703363,2,10,,,,,,,,,,,,,,,,,,,,
Ezh2,GMP,LSKd7,1.350098565,1,10,,,,,,,,,,,,,,,,,,,,
Gata1,GMP,LSKd7,0.499948717,0,10,,,,,,,,,,,,,,,,,,,,
Ebf1,GMP,LSKd7,0.299665828,0,10,,,,,,,,,,,,,,,,,,,,
Men1,GMP,LSKd7,4.358609267,6,6,,,,,,,,,,,,,,,,,,,,
Setd1b,GMP,LSKd7,-4.067078576,6,6,,,,,,,,,,,,,,,,,,,,
Ash2l,GMP,LSKd7,-4.946196823,6,6,,,,,,,,,,,,,,,,,,,,
Kmt2a,GMP,LSKd7,4.431416861,5,6,,,,,,,,,,,,,,,,,,,,
Cxxc1,GMP,LSKd7,-3.394507196,5,6,,,,,,,,,,,,,,,,,,,,
Rbbp5,GMP,LSKd7,-4.360096283,5,6,,,,,,,,,,,,,,,,,,,,
Bcl11a,GMP,LSKd7,2.381865509,4,6,,,,,,,,,,,,,,,,,,,,
Dpy30,GMP,LSKd7,-2.882210593,4,6,,,,,,,,,,,,,,,,,,,,
Smarcc1,GMP,LSKd7,2.91238891,3,6,,,,,,,,,,,,,,,,,,,,
Kat8,GMP,LSKd7,2.577267165,3,6,,,,,,,,,,,,,,,,,,,,
Smarce1,GMP,LSKd7,2.381440217,3,6,,,,,,,,,,,,,,,,,,,,
Nup153,GMP,LSKd7,2.21952962,3,6,,,,,,,,,,,,,,,,,,,,
Kdm5a,GMP,LSKd7,2.196171448,3,6,,,,,,,,,,,,,,,,,,,,
Smarca4,GMP,LSKd7,1.910759683,3,6,,,,,,,,,,,,,,,,,,,,
Ss18,GMP,LSKd7,1.780358508,3,6,,,,,,,,,,,,,,,,,,,,
Actl6a,GMP,LSKd7,1.620874974,3,6,,,,,,,,,,,,,,,,,,,,
Rcor1,GMP,LSKd7,-2.302780679,3,6,,,,,,,,,,,,,,,,,,,,
Hcfc1,GMP,LSKd7,-2.521621656,3,6,,,,,,,,,,,,,,,,,,,,
Wdr82,GMP,LSKd7,-3.292191257,3,6,,,,,,,,,,,,,,,,,,,,
Nup62,GMP,LSKd7,2.266144086,2,6,,,,,,,,,,,,,,,,,,,,
Nup85,GMP,LSKd7,2.099559599,2,6,,,,,,,,,,,,,,,,,,,,
Dpf2,GMP,LSKd7,1.820817836,2,6,,,,,,,,,,,,,,,,,,,,
Nup133,GMP,LSKd7,1.681712061,2,6,,,,,,,,,,,,,,,,,,,,
Kmt2e,GMP,LSKd7,1.479290642,2,6,,,,,,,,,,,,,,,,,,,,
Wdr5,GMP,LSKd7,1.471105166,2,6,,,,,,,,,,,,,,,,,,,,
Ncoa6,GMP,LSKd7,1.392094136,2,6,,,,,,,,,,,,,,,,,,,,
Smarcad1,GMP,LSKd7,1.279659713,2,6,,,,,,,,,,,,,,,,,,,,
Smarcd2,GMP,LSKd7,1.252969347,2,6,,,,,,,,,,,,,,,,,,,,
Smarcb1,GMP,LSKd7,1.210189461,2,6,,,,,,,,,,,,,,,,,,,,
Arid2,GMP,LSKd7,1.059511116,2,6,,,,,,,,,,,,,,,,,,,,
Paxip1,GMP,LSKd7,-1.643305374,2,6,,,,,,,,,,,,,,,,,,,,
Rbbp4,GMP,LSKd7,1.859445194,1,6,,,,,,,,,,,,,,,,,,,,
Hdac1,GMP,LSKd7,1.703217319,1,6,,,,,,,,,,,,,,,,,,,,
Nup43,GMP,LSKd7,1.678764553,1,6,,,,,,,,,,,,,,,,,,,,
Hdac2,GMP,LSKd7,1.671364081,1,6,,,,,,,,,,,,,,,,,,,,
Arid1a,GMP,LSKd7,1.639684825,1,6,,,,,,,,,,,,,,,,,,,,
Arid1b,GMP,LSKd7,1.583277506,1,6,,,,,,,,,,,,,,,,,,,,
Pbrm1,GMP,LSKd7,1.4708688,1,6,,,,,,,,,,,,,,,,,,,,
Nup35,GMP,LSKd7,1.457649246,1,6,,,,,,,,,,,,,,,,,,,,
Bcl11b,GMP,LSKd7,1.334796594,1,6,,,,,,,,,,,,,,,,,,,,
Dpf3,GMP,LSKd7,1.312812316,1,6,,,,,,,,,,,,,,,,,,,,
Ezh1,GMP,LSKd7,1.305331954,1,6,,,,,,,,,,,,,,,,,,,,
Rbbp7,GMP,LSKd7,1.178804403,1,6,,,,,,,,,,,,,,,,,,,,
Chd3,GMP,LSKd7,1.109128102,1,6,,,,,,,,,,,,,,,,,,,,
Bcl7a,GMP,LSKd7,1.048134762,1,6,,,,,,,,,,,,,,,,,,,,
Rest,GMP,LSKd7,0.884845599,1,6,,,,,,,,,,,,,,,,,,,,
Smarca5,GMP,LSKd7,0.592142674,1,6,,,,,,,,,,,,,,,,,,,,
Smarca2,GMP,LSKd7,0.505150779,1,6,,,,,,,,,,,,,,,,,,,,
